CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
295501;Sofia Bermeo;Sofia;Bermeo;F;31;null;0;null;0;160.93999;65.77084;44770;Altair CrossFit;02;;;;0;PE;127.00576;83.91452;74.84268;133.80965;--;37;--;--;--;--;1:05;--
359849;Vera Valdez;Vera;Valdez;F;30;null;0;null;0;158.93999;58.96696;44771;CrossFit Tecun Uman;02;;;;0;GT;--;--;--;--;--;--;3:11;2:13;8:59;--;--;27:40
1521380;Zaida Amade;Zaida;Amade;F;41;null;0;null;0;159.93999;59.874146;44772;Super Set CrossFit;02;;;;0;MZ;--;--;--;--;--;--;--;--;--;--;--;--
661734;Marian Khoury;Marian;Khoury;F;26;null;0;null;0;158.93999;56.699;44729;CrossFit Ramallah;02;;;;0;PS;--;--;--;--;--;--;--;--;--;--;--;--
1351483;Sheerly Bueno Reyes;Sheerly;Bueno Reyes;F;21;null;0;null;0;7.54;55.338223;null;null;02;;;;0;DO;--;--;--;--;--;--;--;--;--;--;--;--
245403;Colleen Fotsch;Colleen;Fotsch;F;29;null;0;null;0;162.93999;75.74986;null;null;02;;;;0;US;--;--;--;--;--;--;--;--;--;--;--;--
477709;Courtney Haley;Courtney;Haley;F;24;null;0;null;0;159.93999;68.945984;44775;CrossFit Dux;02;;;;0;AU;130;97;80;150;382;51;2:33;2:04;--;19:25;1:05;22:30
235110;Taylor Streid;Taylor;Streid;F;28;null;0;null;0;160.93999;63.50288;44950;Blues City CrossFit;02;;;;0;US;126.09858;99.79024;83.00734;137.43837;--;--;2:47;1:37;--;23:11;--;23:10
592472;Bethany Shadburne;Bethany;Shadburne;F;25;null;0;null;0;158.93999;65.77084;44951;Streamline CrossFit;02;;;;0;US;131.54169;99.79024;86.63607;145.14944;--;55;--;1:33;--;--;--;--
21556;Madeline Sturt;Madeline;Sturt;F;22;null;0;null;0;156.93999;62.142105;44785;CrossFit Urge;02;;;;0;AU;128;92;72;155;--;--;--;--;--;--;--;--
