CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
2088;Camilla Salomonsson Hellman;Camilla;Salomonsson Hellman;F;27;SE;32;All;0;165;67.585205;null;null;02;Europe North;Europe North;Europe North;ACT;0;SE;143;100;77;160;--;--;2:45;1:20;--;--;--;--
901899;Ehea Schuerch;Ehea;Schuerch;F;29;US;32;All;0;161.93999;72.57472;null;null;02;West Coast;West Coast;West Coast;ACT;0;US;151.95332;106.594124;86.18248;181.4368;--;--;2:29;1:19;--;19:55;--;--
27975;Chyna Cho;Chyna;Cho;F;31;US;32;All;0;162.93999;65.77084;null;null;02;West Coast;West Coast;West Coast;ACT;0;US;129.72731;94.80073;77.11064;142.88148;--;50;2:17;2:00;--;--;--;--
3200;Dani Horan;Dani;Horan;F;30;US;32;All;0;160.93999;67.131615;null;null;02;North East;North East;North East;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
16973;Carleen Mathews;Carleen;Mathews;F;34;US;32;All;0;156.93999;56.699;null;null;02;West Coast;West Coast;West Coast;ACT;0;US;138.34557;97.52228;74.84268;174.63292;344;48;3:08;2:20;--;26:00;1:21;22:54
8015;Rebecca Voigt;Rebecca;Voigt;F;37;US;32;All;0;163.93999;70.30676;null;null;02;West Coast;West Coast;West Coast;ACT;0;US;120.20188;99.79024;79.3786;179.16884;412;31;1:58;1:54;8:07;24:12;1:30;22:25
764556;Gabriela Migała;Gabriela;Migała;F;19;PL;32;All;0;170;70;null;null;02;Europe North;Europe North;Europe North;ACT;0;PL;143;105;83;155;--;--;--;--;--;--;--;--
148485;Meredith Root;Meredith;Root;F;30;CA;32;All;0;158.93999;60.327736;null;null;02;Canada West;Canada West;Canada West;ACT;0;CA;129.27373;99.79024;86.18248;154.22128;--;44;2:11;1:35;7:08;--;1:04;20:21
698210;Karin Freyová;Karin;Freyová;F;23;SK;32;All;0;170;74;null;null;02;Europe North;Europe North;Europe North;ACT;0;SK;125;105;90;160;--;--;--;--;--;--;--;--
141620;Alex Parker;Alex;Parker;F;28;CA;32;All;0;160.93999;64.410065;null;null;02;Canada West;Canada West;Canada West;ACT;0;CA;124.7378;97.52228;79.3786;145.14944;348;45;2:25;1:46;7:30;19:19;--;--
2519;Michele Fumagalli;Michele;Fumagalli;F;30;US;32;All;0;159.93999;70.30676;null;null;02;North Central;North Central;North Central;ACT;0;US;136.0776;102.0582;83.91452;158.7572;--;--;--;--;--;--;--;--
45491;Jennifer Smith;Jennifer;Smith;F;32;US;32;All;0;160.93999;63.50288;null;null;02;Central East;Central East;Central East;ACT;0;US;129.27373;108.86208;86.18248;167.82904;--;--;--;--;--;--;--;--
8404;Camille Leblanc-Bazinet;Camille;Leblanc-Bazinet;F;29;US;32;All;0;156.93999;58.96696;null;null;02;South West;South West;South West;ACT;0;US;140.61353;104.326164;86.18248;136.0776;--;80;2:04;1:40;7:20;--;1:20;--
74426;Chelsea Nicholas;Chelsea;Nicholas;F;30;US;32;All;0;160.93999;68.0388;null;null;02;West Coast;West Coast;West Coast;ACT;0;US;145.14944;106.594124;88.45044;147.4174;--;--;2:38;--;--;--;--;--
239148;Carolyne Prevost;Carolyne;Prevost;F;28;CA;32;All;0;157.93999;64.863655;null;null;02;Canada East;Canada East;Canada East;ACT;0;CA;140.61353;99.79024;79.3786;181.4368;464;50;2:18;1:20;--;--;--;--
3678;Margaux Alvarez;Margaux;Alvarez;F;33;US;32;All;0;161.93999;68.945984;null;null;02;South West;South West;South West;ACT;0;US;124.7378;104.326164;86.18248;185.97272;356;45;2:52;1:20;7:58;19:42;--;21:47
254313;Jessica Griffith;Jessica;Griffith;F;26;US;32;All;0;160.93999;64.863655;null;null;02;North Central;North Central;North Central;ACT;0;US;139.25275;112.037224;88.45044;156.48924;357;57;2:12;--;--;--;1:12;--
